club_name,year,trades_with_Arsenal,trades_with_Aston Villa,trades_with_Bournemouth,trades_with_Brentford,trades_with_Brighton,trades_with_Chelsea,trades_with_Crystal Palace,trades_with_Everton,trades_with_Fulham,trades_with_Ipswich Town,trades_with_Leicester City,trades_with_Liverpool,trades_with_Manchester City,trades_with_Manchester United,trades_with_Newcastle United,trades_with_Nottingham Forest,trades_with_Southampton,trades_with_Tottenham,trades_with_West Ham,trades_with_Wolverhampton
Newcastle United,1999,0,0,1,0,0,0,0,0,0,1,0,1,1,0,/,0,0,0,1,0
Nottingham Forest,1999,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,/,0,0,1,0
Southampton,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,0,0,1
Tottenham,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,0,1
West Ham,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,/,0
Wolverhampton,1999,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,/
Arsenal,2000,/,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Aston Villa,2000,0,/,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
Bournemouth,2000,0,0,/,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Brentford,2000,0,0,0,/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brighton,2000,0,0,0,0,/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chelsea,2000,0,0,0,0,0,/,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Crystal Palace,2000,1,0,1,0,0,1,/,0,0,1,0,1,1,0,0,1,0,0,1,0
Everton,2000,0,1,0,0,0,0,0,/,0,0,0,0,1,0,1,0,0,0,0,0
Fulham,2000,0,0,0,0,0,0,0,0,/,0,0,0,0,0,1,0,0,0,0,0
Ipswich Town,2000,0,0,0,0,0,0,1,0,0,/,0,0,0,0,0,1,0,1,0,1
Leicester City,2000,0,0,0,0,0,0,0,0,0,0,/,1,0,0,0,0,0,0,0,1
Liverpool,2000,0,1,0,0,0,0,1,0,0,0,1,/,0,0,0,0,0,0,0,0
Manchester City,2000,0,0,1,0,0,0,1,1,0,0,0,0,/,0,1,0,0,0,1,1
Manchester United,2000,0,0,0,0,0,1,0,0,0,0,0,0,0,/,0,0,0,1,0,0
Newcastle United,2000,0,0,0,0,0,0,0,1,1,0,0,0,1,0,/,0,0,0,0,1
Nottingham Forest,2000,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,/,1,0,0,0
Southampton,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,/,0,0,0
Tottenham,2000,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,/,0,0
West Ham,2000,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,/,0
Wolverhampton,2000,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,/
Arsenal,2001,/,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Aston Villa,2001,0,/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Bournemouth,2001,0,1,/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Brentford,2001,0,0,0,/,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Brighton,2001,0,0,0,0,/,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Chelsea,2001,0,0,0,0,0,/,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Crystal Palace,2001,0,0,0,1,0,0,/,0,1,0,0,0,1,0,0,1,0,0,0,0
Everton,2001,0,0,0,0,0,0,0,/,0,0,0,0,0,1,0,0,0,0,0,0
Fulham,2001,0,0,0,0,0,0,1,0,/,0,0,0,0,0,0,0,0,0,0,0
Ipswich Town,2001,1,0,0,0,0,0,0,0,0,/,1,0,0,0,0,0,0,0,0,0
Leicester City,2001,0,0,0,0,1,1,0,0,0,1,/,0,1,0,0,1,0,1,0,1
Liverpool,2001,0,0,0,0,0,0,0,0,0,0,0,/,0,0,0,0,0,0,0,0
Manchester City,2001,0,0,0,0,0,0,1,0,0,0,1,0,/,0,0,0,0,0,1,1
Manchester United,2001,0,0,0,0,0,0,0,1,0,0,0,0,0,/,0,0,0,0,1,0
Newcastle United,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,1,0,0,0,0
Nottingham Forest,2001,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,/,0,0,0,1
Southampton,2001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,0,0,0
Tottenham,2001,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,/,0,0
West Ham,2001,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,/,1
